Average wind speed (m/s);Average power (kW);Input turbulence intensity (%);Input alpha
18.7598;4983.68;27.85;0.44
6.70513;1194.45;15.51;-0.25
20.0949;4974.44;27.79;-0.44
19.2289;4986.45;11.22;0.13
9.78657;3520.26;41.88;-0.19
22.8841;4934.34;29.1;0.46
6.60804;1005.57;10.25;0.18
20.6631;4934.61;27.71;0.07
19.9609;4923.61;31.04;0.07
10.1221;3823.38;21.91;-0.14
8.58483;2576.5;25.49;-0.28
6.45989;1299.36;35.72;-0.18
14.702;4970.6;34.43;-0.44
21.3821;4836.45;35.73;0.09
9.80945;3261.73;9.97;0.44
7.51442;1965.48;43.15;-0.03
19.7421;4960.4;25.68;0.39
24.9121;4985.57;14.22;0.32
10.7631;4237.57;27.64;-0.33
23.8728;4987.02;7.44;0.44
23.4312;4976.16;22.24;0.23
24.899;4934.63;34.17;-0.46
12.8395;4832.2;33.19;-0.43
10.7522;4640.77;8.28;-0.31
4.09328;211.822;8.9;0.19
10.8382;4605.81;10.81;-0.26
6.9011;1161.29;5.99;-0.05
3.0924;64.1078;5.59;0.38
3.56414;198.693;32.11;-0.47
22.035;4987.04;10.53;-0.07
24.9444;4966.37;24.21;0.06
3.11249;92.9236;32.03;0.2
12.9671;4749.34;28.97;0.25
14.5785;4845.57;21.44;0.4
9.15976;2639.81;5.5;0.12
23.0563;4865.99;40.58;0.15
13.8149;4842.29;25.12;0.4
10.1066;3614.6;28.05;0.28
20.4985;4971.77;27.57;0.37
24.881;4987.07;5.27;0.11
12.6448;4485.86;35.38;0.19
16.398;4976.4;19.23;0.43
5.47425;591.693;14.01;0.12
14.1696;4933.28;30.62;-0.4
10.18;3528.81;22.11;-0.02
19.3453;4986.08;9.43;-0.1
3.15788;92.7151;23.95;-0.26
16.2162;4925.39;30.05;0.38
18.5265;4730.7;41.69;0.35
17.5639;4986.18;7.1;-0.42
23.74;4980.74;22.48;0.18
7.52788;1607.74;10.69;-0.19
8.84441;2594.79;30;-0.11
13.2411;4982;8.88;0.34
6.62061;1011.15;7.18;0.02
7.91599;2040.07;25.42;-0.19
9.83464;3105.65;42.17;0.21
21.3094;4985.38;16.23;-0.07
8.60986;2349.23;22.67;0.07
9.57869;2979.11;5.79;0.33
19.8209;4841.41;42.87;-0.27
15.6693;4786.7;42.43;-0.27
14.6409;4984.79;8.46;-0.22
8.16228;2351.11;22.31;-0.33
17.8894;4986.35;8.28;0.01
21.5474;4953.8;32.6;-0.43
20.4458;4986.75;9.27;-0.43
19.9671;4887.24;39.6;-0.07
15.2514;4739.15;41.23;-0.21
21.1708;4883.15;37.93;-0.01
4.54145;400.858;29.6;-0.12
21.4876;4931.96;38.29;-0.31
12.878;4877.3;20.46;0.44
20.1635;4984.17;21.64;-0.41
14.8441;4882.88;37.31;-0.3
4.10547;264.426;28.4;0.43
5.30641;661.781;17.41;-0.44
16.6453;4984.42;24.26;-0.43
4.23292;273.465;29.24;0.18
17.2649;4985.44;7.63;-0.27
11.9016;4826.66;15.38;-0.31
19.1204;4837.43;34.7;-0.13
24.4416;4900.58;38.85;0.23
9.4242;3221.72;43.12;-0.08
20.1501;4965.06;32.58;0.47
13.0044;4961.12;21.08;-0.01
23.4196;4986.85;6.2;0.43
7.1471;1510.54;30.17;-0.03
17.6929;4963.57;29.52;0.46
8.78602;2532.54;26.9;0.06
4.91541;468.287;28.61;0.31
9.68115;3587.44;23.23;-0.41
14.0948;4670.26;34.64;0.31
23.0636;4876.46;42.71;0.24
16.4416;4702.29;40.13;0.46
11.9531;4976.85;8.74;0.45
5.8708;835.213;36.46;0.38
23.8865;4910.94;41.98;-0.21
21.761;4986.98;8.76;-0.06
21.1262;4984.62;17.07;-0.05
8.93482;2830.79;44.8;-0.15
9.39778;3096.12;33;0.21
4.9568;525.177;43.84;0.42
4.15128;262.255;18.14;-0.22
3.29905;95.5645;18.28;0.09
4.96836;415.775;11.99;0.05
12.3001;4410.58;35.83;0.14
10.5965;4130.39;13.27;-0.01
24.1789;4978.98;21.54;-0.08
16.0405;4964.4;26.22;-0.02
12.7887;4688.29;24.5;-0.02
7.80116;2393.13;38.52;-0.39
14.386;4965.17;21.8;0.48
3.29919;158.052;41.91;-0.47
16.0917;4985.12;11.87;0
8.9395;2543.67;8.88;-0.06
24.8362;4947.5;33.38;-0.07
5.46478;673.313;33.75;0.02
14.4256;4960.41;21.09;-0.09
24.4803;4986.06;17.48;0.22
18.5507;4915.37;36.07;0.49
11.396;4143.99;38.03;-0.05
4.33937;359.614;39.88;-0.13
6.78735;1127.03;12.12;-0.09
23.8355;4785.65;41.54;0.49
13.6668;4983.15;5.27;-0.31
23.0625;4932.79;35.78;-0.07
24.9065;4903.61;38.93;-0.12
3.70301;176.072;28.29;0.47
8.78957;2665.36;36.54;0.3
11.8818;4786.73;11.71;-0.14
17.0263;4933.38;34.22;-0.15
7.54466;1769.37;39.89;0.17
21.1097;4986.8;8.07;0.02
7.34588;1443.7;12.86;-0.09
18.9188;4935.8;26.15;-0.31
7.37257;1511.73;14.03;-0.19
2.97478;66.5498;24.83;0.35
24.6891;4977.37;22.85;0.32
10.8367;4125.58;20.01;0.24
4.52991;330.161;18.48;-0.01
3.52492;176.727;39.23;0.26
8.78374;2320.43;6.73;0.17
14.6245;4691.07;44.24;-0.08
20.3145;4860.33;37.44;0.02
8.60358;2644.1;41.72;-0.09
8.86248;2635.41;35.49;0.18
11.3407;4483.45;27.77;-0.24
18.1566;4898.61;39.13;-0.41
21.8258;4955.35;27.36;0.25
24.3414;4971.91;21.25;0.32
8.76801;2570.32;33.59;0.23
4.23206;292.966;24.88;0.44
25.1264;4900.04;43.58;-0.46
9.80322;3749.72;33.52;-0.34
19.9436;4955.25;37.32;-0.21
17.8504;4985.65;7.9;0.28
10.8245;4373.99;14.9;-0.17
21.0217;4967.63;33.63;0.42
23.783;4986.02;12.84;0.29
20.1309;4986.67;12.47;-0.01
22.0445;4926.9;30.26;-0.26
18.1342;4877.12;34.16;0.22
17.3307;4986.24;5.27;-0.38
21.1195;4978.57;29.09;0.38
6.14293;1011.34;34.7;-0.11
8.78802;2800.4;7.9;-0.41
15.1106;4806.22;41.46;-0.3
15.6637;4985.85;12.72;0.08
5.33096;534.336;18.72;0.16
13.5092;4626.72;44.95;-0.09
9.09371;3139.29;21.77;-0.34
7.60734;1847.06;42.12;0.4
24.5374;4987.11;5.63;-0.15
21.9994;4986.94;6.18;-0.18
3.51447;120.573;5.39;-0.08
9.88263;3232.25;42.44;0.38
4.11492;254.461;21.5;-0.16
16.886;4971.92;25.3;-0.15
15.093;4797.38;41.67;-0.41
10.2028;3570.89;31.59;-0.14
8.74892;2618.6;38.93;0.29
18.2576;4985.92;9.64;0.23
3.92583;224.341;17.67;-0.25
15.5317;4850.23;35.03;-0.26
23.264;4848.84;35.6;0.21
6.81359;1677.44;43.06;-0.49
20.8567;4986.85;9.45;0.39
5.78737;869.779;28.99;-0.33
15.8224;4932.97;34.8;0
20.0968;4985.55;17.77;0.44
15.9216;4949.56;24.75;0.2
20.8164;4860.18;37.64;-0.41
21.474;4986.55;8.3;0.01
9.97835;3954.22;38.51;-0.4
19.0581;4986.76;11.47;-0.21
3.07096;86.7163;28.48;0.25
5.25686;677.772;22.3;-0.49
6.20976;848.515;13.72;0.06
10.0595;3569.92;18.44;0.2
6.10359;775.629;5.31;0.14
8.86496;2988.51;43.14;-0.22
19.1861;4827.41;41.77;0.47
20.306;4978.47;27.17;0.26
18.6018;4985.28;24.1;-0.28
19.9848;4963.16;29.34;0.34
15.8139;4985.27;7.18;0.21
8.69998;2534.33;44.57;0.13
22.9799;4986.59;6.97;-0.25
15.0711;4984.71;12.74;-0.22
9.79037;3257.22;9.09;0.48
13.0165;4465.92;40.29;-0.11
24.2988;4976.96;20.3;-0.48
18.9387;4986.38;6.51;-0.17
12.243;4872.85;16.22;0.05
21.3784;4970.4;29.26;-0.19
10.4984;4290.4;13.9;-0.32
19.0536;4928.19;42.5;-0.46
13.4124;4756.91;41.14;-0.33
7.66357;1774.04;28.25;-0.04
25.5172;4903.46;35.85;-0.48
14.847;4756.18;29.55;0.37
17.4834;4904.93;33.67;-0.25
18.4783;4977.17;26.87;-0.19
16.2908;4985.05;5.86;0.09
5.63265;608.758;5.22;0.08
16.9408;4962.11;29.64;0.48
3.96621;299.113;39.68;-0.42
13.4935;4976.23;14.87;0.18
3.18986;127.217;29.99;-0.33
12.9549;4497.48;39.6;0.03
6.12692;1011.17;23.28;-0.39
4.98964;553.61;11.92;-0.5
24.1908;4899.04;36.58;0.32
10.669;4555.56;16.33;-0.44
24.5373;4985.7;20.61;-0.38
15.796;4644.79;40.44;0.14
11.1223;4606.83;5.75;0.17
22.4416;4940.79;37.65;-0.1
16.6577;4813.18;26.39;0.33
15.7984;4936.83;36.45;-0.44
21.6124;4937.67;34.35;-0.11
4.66382;343.357;10.37;0.01
7.38874;1438.57;13.05;0.02
3.12548;78.4857;20.59;0.17
5.77858;928.004;37.52;-0.35
11.0752;3984.89;38.79;0.3
13.359;4563.08;35.36;0.17
12.8483;4980.8;12.4;0.43
20.2241;4986.58;6.19;0.42
18.3472;4986.49;12.27;0.21
23.2891;4816.82;40.92;-0.09
8.43987;2606.44;29.77;-0.27
13.9544;4878.63;26.07;0.11
14.0141;4844.45;24.93;-0.12
18.8717;4986.35;12.75;0.37
8.23352;1978.53;12.62;0.42
11.7977;4159.38;35.23;0.37
20.5377;4845.95;42.69;0.34
4.77789;396.855;11.69;-0.16
23.902;4984.72;18.28;-0.43
3.60539;164.506;30.78;0.39
7.21295;1678.4;43.75;0.23
14.993;4875.78;28.62;0.4
19.5483;4986.67;6.96;0.11
16.2944;4985.22;5.05;-0.1
21.3253;4856.61;41.69;-0.13
16.8002;4774.77;35.9;0.12
20.0429;4964.55;31.34;0.19
6.63776;1224.73;41.6;0.5
7.7239;2170.68;32.84;-0.43
16.4501;4985.12;6.93;0.4
13.9751;4900.53;17.45;-0.2
3.95649;202.202;18.59;-0.02
18.4209;4986.23;30.71;-0.41
5.70456;629.195;6.58;0.14
5.0239;625.126;44.21;0.46
6.91357;1323.68;28.33;-0.05
18.2172;4759.16;43.2;0.28
25.1722;4856.91;37.59;0.14
14.6594;4947.67;29.39;-0.26
17.6066;4873.09;41.78;-0.18
22.1962;4887.5;38.51;-0.45
18.337;4959.43;33.18;0.19
11.6329;4202.68;39.17;0
22.5828;4933.82;32.43;0.39
17.5747;4981.17;22.55;0.41
21.2216;4983.58;19.74;-0.21
4.12456;260.046;34.44;0.22
16.4198;4472.46;43.91;0.02
10.4667;3899.35;39.21;-0.1
7.06295;1465.78;30.99;-0.22
4.22151;312.319;15.14;-0.47
22.7101;4987.03;6.79;0.07
10.9067;4553.76;12.31;-0.26
22.7546;4986.92;7.77;0.44
22.5328;4933.77;30.77;-0.3
18.4729;4984.93;23.05;-0.23
16.95;4938.14;32.8;-0.07
18.3578;4880.3;33.29;0.24
15.6958;4974.98;19.4;-0.46
21.4512;4986.66;6.08;-0.42
5.98255;906.314;38.73;-0.09
18.6826;4828.05;41.19;0.49
4.14069;247.134;27.64;0.17
18.6348;4986.51;10.92;0.39
9.13677;2782.66;42.93;0.24
12.2215;4982.42;7.99;-0.41
12.654;4642.71;37.08;-0.47
13.1336;4960.51;20.87;-0.17
11.7969;4612.97;28.44;-0.49
23.2011;4922.01;33.74;-0.12
5.58231;853.59;35.18;-0.4
10.8544;3980.07;40.33;-0.2
16.9798;4962.43;26.53;-0.26
22.5922;4986.56;14.01;0.43
7.93587;2215.44;38.28;-0.23
21.4914;4986.62;13.18;0.43
19.1156;4831.36;41.7;-0.2
22.313;4986.45;9.89;-0.34
6.71356;1277.17;43.33;0.17
17.3861;4863.9;34.64;-0.41
14.9349;4870.88;18.96;0
20.2734;4884.3;37.1;0.42
13.2435;4848.36;32.11;-0.32
9.88104;3388.66;16.91;0.39
16.7851;4980.97;17.07;0.2
24.9999;4986.8;11.31;-0.04
22.0168;4978.76;28.77;-0.24
8.54415;2414.57;20.43;-0.17
14.0625;4656.39;44.15;0.31
15.7953;4957.55;27.18;0.27
12.0236;4981.48;9.31;-0.48
22.3049;4986.85;9.95;-0.01
16.7554;4961.28;26.18;0.08
11.5953;4515.1;21.66;0.48
7.73507;1698.17;6.06;-0.18
25.317;4924.55;34.77;0.05
20.9442;4968.89;33.11;-0.09
3.78321;242.98;30.33;-0.48
19.6817;4975.44;27.3;-0.45
23.7749;4842.34;42.81;-0.15
14.3101;4983.42;10.16;-0.14
7.4125;1722.82;8.39;-0.45
11.7287;4701.75;16.22;-0.17
3.68777;166.6;7.22;-0.29
24.2126;4972.67;28.7;-0.3
17.1646;4938.74;28.65;-0.23
24.3836;4987.07;13.84;-0.13
18.45;4984.31;14.23;0.5
19.518;4986.52;18.89;-0.29
8.27954;2064.83;18.76;0.02
4.46193;295.127;10.12;0.39
12.5547;4417.71;40.96;0.49
19.917;4980.63;24.42;-0.06
11.1115;4189.13;30.35;-0.29
24.4376;4981.67;18.7;0.41
20.7894;4799.38;40.78;0.37
19.2005;4947.71;31.12;0.37
7.78018;1913.9;10.39;-0.38
13.0806;4983.03;5.9;-0.24
12.925;4981.77;12.81;-0.45
22.5058;4987.01;7.93;0.47
6.96366;1418.15;44.42;0.05
3.48382;138.986;31.54;0.07
18.8093;4801.27;40.99;0.46
18.967;4936.12;31.53;0.46
10.8175;4320.66;13.42;0.1
21.7371;4853.34;42.53;-0.27
17.4606;4979.08;22.7;0.34
14.9785;4984.8;8.7;-0.38
20.1541;4986.72;5.69;-0.41
22.7553;4848.79;44.7;-0.31
22.5232;4835.74;40.75;-0.5
5.74543;817.585;39.93;0.49
11.8679;4981.75;6.19;-0.42
18.8455;4986.01;16.71;-0.16
22.1038;4982.9;20.6;-0.24
22.2283;4984.26;23.37;0.11
13.3367;4982.14;12.65;-0.05
8.381;2242.27;9.57;-0.26
20.9531;4892.5;40.65;0.47
22.0883;4980.13;22.32;-0.35
6.83523;1295.65;30.17;-0.07
23.1416;4966.99;26.21;0.39
6.54208;1092.37;34.12;0.09
15.1762;4787.03;32.89;0.31
10.4386;4189.32;6.06;-0.19
23.9807;4986.87;11.3;-0.21
21.667;4845.87;40.87;-0.07
10.9182;4305.22;21.49;0.07
20.0328;4985.76;13.56;-0.16
12.1585;4357.33;38.12;0.3
6.02647;859.054;22.98;0.37
22.3272;4825.77;43.42;0.34
5.44629;790.253;42.6;-0.26
5.88067;718.393;13.9;0.28
5.97854;843.394;18.55;-0.2
23.1962;4985.67;12.49;0.36
18.8277;4986.28;5.19;0.29
9.9833;3473.36;42.3;0.2
12.491;4405.79;29.52;-0.08
10.2237;3608.54;33.49;0.4
7.93246;1875.46;7.87;-0.22
3.63255;189.857;31.05;0
3.36666;133.455;25.28;-0.21
23.9358;4978.2;22.46;0.22
3.29303;111.005;22.75;-0.22
13.7747;4768.62;44.54;-0.29
13.5028;4861.02;26.15;0.19
12.7418;4962.8;10.3;0.14
22.4972;4959.79;27.91;-0.11
16.8128;4985.93;6.16;-0.18
24.5915;4984.11;17.35;-0.25
19.8821;4906.22;28.98;0.49
20.8497;4986.81;15.59;-0.4
4.13181;332.811;43.84;-0.38
9.15139;3048;20.03;-0.27
25.0745;4969.5;26.78;-0.15
21.7986;4969.76;25.47;-0.26
16.017;4972.86;19.23;-0.11
10.4853;3970.69;37.3;-0.1
5.8731;841.132;28.89;-0.2
10.8691;4188.58;43.27;-0.23
20.3247;4986.49;14.7;0.35
8.63202;2470.34;26.29;-0.05
12.2459;4698.36;22.65;0.25
8.55452;2233.39;11.55;-0.02
3.92289;236.667;38.21;0.48
15.2419;4789.66;35.84;0
5.4109;691.987;40.14;0.1
25.1367;4986.69;13.17;-0.24
8.89742;2680.97;19.91;-0.12
15.639;4901.9;37.4;-0.16
13.883;4895.54;26.64;-0.3
14.5771;4927.09;36.54;-0.46
16.7533;4985.29;7.57;-0.09
10.3511;4176.46;20.18;-0.39
10.0753;3817.66;32.46;-0.24
12.5778;4562.9;36.44;-0.14
5.44224;686.426;38.53;0.07
16.7291;4983.67;25.3;0.06
19.3665;4986.26;5.09;-0.43
7.07869;1661.74;27.29;-0.47
14.9652;4810.75;38.9;-0.18
15.1671;4889.07;23.86;0.24
14.471;4627.18;36.75;-0.43
25.0071;4984.32;16.57;-0.06
6.13236;1087.58;30.71;-0.4
15.9088;4985.5;7.71;-0.41
20.606;4982.46;23.07;-0.48
11.4141;4814.79;12.78;-0.28
10.5569;4048.91;19.23;-0.11
24.3632;4970.61;27.61;0.09
16.9677;4986.08;15.27;0.11
12.3102;4497.15;23.74;0.09
24.2966;4959.62;25.36;0.45
15.7772;4985.34;12.67;0.41
14.7586;4872.95;29.56;0.45
10.4756;4741.09;5.39;-0.47
5.46443;638.992;26.26;0.46
20.4084;4986.56;7.27;0.11
9.64791;3679.89;18.88;-0.36
6.8996;1294.4;22.49;-0.17
13.9727;4647.11;42.32;0.39
7.26312;1467.73;18.91;-0.2
6.75648;1124.66;19.89;0.3
16.0552;4582.02;42.93;0.4
25.1509;4827.96;39.25;0.31
14.2015;4672.55;37.96;0.09
4.08413;217.29;17.95;0.2
14.29;4969.63;19.24;0.06
6.25503;928.591;21.75;-0.07
20.0859;4986.43;11.32;-0.27
17.7157;4985.78;7.97;0.2
22.0069;4956.43;37.63;0.02
3.29433;97.7833;19.28;0.4
3.42012;152.381;12.39;-0.45
8.34249;2199.34;17.14;-0.13
23.2847;4986.95;13.88;0.26
5.33543;539.463;10.75;0.39
18.5234;4984.6;24.64;0.4
6.02404;1075.88;44.1;-0.46
23.3959;4985.5;16.5;0.32
22.2128;4954.74;35.89;0.48
8.86798;3061.45;22.26;-0.44
12.7621;4660.74;40.81;-0.2
25.4102;4911.53;34.84;-0.35
7.84611;1985.2;36.34;0.47
21.2326;4986.89;9.41;0.45
18.2918;4963.51;32.48;-0.01
15.8103;4984.99;7.84;0.33
7.11408;1344.47;34.19;0.18
11.5099;4471.12;22.19;-0.07
17.512;4985.69;20.59;-0.01
9.75382;3179.61;8.44;0.22
21.654;4939.98;36.05;-0.27
11.86;4615.63;27.89;0.16
15.1557;4752.59;43.27;0.19
7.34414;1567.65;8.01;-0.33
20.9164;4986.34;14.85;0.46
21.3956;4893.13;39.81;-0.44
5.93355;823.891;31.33;0.31
16.3751;4980.71;20.25;0.05
12.6024;4592.24;30.4;-0.23
16.5853;4848.8;37.66;-0.1
20.8381;4868.97;42.76;-0.31
8.49364;2126.89;9.43;0.43
6.04704;831.55;8.25;-0.2
25.9603;4807.29;44.75;0.09
11.629;4740.49;20.97;-0.27
4.03046;226.816;21.62;-0.03
16.0584;4985.8;18.14;0.14
24.4579;4921.7;35.24;0.08
11.4072;4360.7;22.76;0.04
12.5147;4697.94;37.41;-0.39
12.2286;4979.31;5.51;0.17
5.75374;773.3;32.24;0
8.14172;2051.84;22.54;-0.14
19.3735;4855.52;34.23;0.45
24.4134;4987.16;5.31;0.41
24.024;4978.38;23.02;-0.15
8.86373;2397.75;10.05;0.25
24.9794;4981.05;17.66;0.11
13.4635;4747.68;39.92;-0.3
23.6268;4828.98;35.02;-0.11
16.8689;4986.25;16.55;-0.32
22.2683;4986.87;7.99;0.35
6.64463;1342.21;27.57;-0.36
14.4075;4864.08;23.16;0.5
11.5797;4978.87;5.22;-0.31
4.7748;530.975;40.97;0.48
12.1295;4132.6;44.03;0.33
4.84826;390.991;10.49;0.39
7.03485;1317.7;24.63;-0.06
16.5327;4985.46;15.3;0.42
20.2674;4980.24;29.08;-0.47
3.68572;157.471;10.56;-0.19
17.7127;4985.95;15.55;-0.07
17.8649;4960.19;25.83;-0.23
16.5093;4985.18;7.04;0.12
14.535;4581.63;39.66;0.29
11.3125;4525.16;25.25;-0.46
13.6867;4981.12;7.56;-0.1
15.7149;4972.53;25.63;-0.48
10.0752;3552.78;19.46;0.25
7.481;1510.19;12.48;-0.07
16.177;4973.79;24.18;0.17
15.4759;4978.69;18.53;-0.3
10.1217;4200.38;12.46;-0.39
7.81701;2379.32;40.01;-0.47
24.2586;4886.94;43.94;-0.19
22.9084;4984.25;20.76;0.19
16.8982;4986.28;14.13;0.07
8.54666;2762.28;15.06;-0.48
23.5591;4987.1;8.45;0.46
14.9381;4984.49;7.63;-0.43
21.7727;4975.21;23.41;0.48
9.23546;2959.65;23.78;-0.08
19.8357;4948.32;32.75;-0.11
24.1708;4986.81;12.44;-0.12
15.5879;4897.39;34.21;-0.19
3.60418;221.368;43.04;-0.26
23.5785;4723.3;41.52;0.18
16.551;4984.94;15.03;0.49
17.2567;4985.51;12.16;-0.02
18.6294;4984.62;23.46;-0.19
9.67064;3258.63;36.1;-0.18
16.0192;4831.44;31.63;0.21
16.4447;4919.21;37.21;0.46
24.6992;4899.84;35.85;0.05
8.94767;2616.88;14.06;-0.08
21.9714;4901.55;40.41;-0.42
6.08871;1070.37;40.8;-0.12
15.581;4645.83;43.28;0.3
3.48644;175.943;33.54;-0.27
4.71696;418.851;30.55;-0.2
9.9833;3477.24;5;0.01
18.3557;4909.53;39.05;-0.47
6.83189;1169.35;24.61;0.18
21.9608;4790.46;35.02;0.36
12.0498;4607.23;22.87;0.29
15.4414;4985.03;15.37;-0.27
3.62091;192.78;29.19;-0.34
3.88522;251.949;33.7;0.22
6.48812;1156.91;36.9;0.03
13.0388;4940;19.61;-0.1
5.04357;513.132;29.6;0.05
5.8425;1003.09;42.59;-0.05
4.47445;394.377;43.66;0.45
20.1839;4914.08;39.42;-0.11
4.57661;523.053;44.01;-0.45
17.2803;4949.81;33.8;-0.3
22.8352;4986.88;12.85;0.27
10.275;3687.3;5.79;0.22
6.66672;1198.16;36.29;-0.01
8.52078;2198.1;13.31;-0.01
13.1449;4982.78;15.03;-0.42
5.83365;813.114;32.93;0.37
15.4917;4918.19;26.32;0
4.10939;332.535;37.07;-0.07
7.76504;1912.17;13.09;-0.37
13.4099;4460.63;36.85;0.09
11.4899;4238.99;26.4;0.01
7.99571;1783.31;12.67;0.38
19.2837;4949.01;31.75;-0.01
17.3488;4985.95;13.73;-0.23
11.5345;4054.88;38.89;0.02
9.70953;3360;25.64;0.04
5.65715;822.446;38.35;-0.17
24.7597;4936.21;34.14;-0.24
8.1399;2191.82;19.74;-0.22
15.1425;4852.92;35.82;0.46
14.312;4857.09;35.01;-0.05
19.3457;4985.59;19.58;-0.37
9.80183;3378.17;10.25;-0.04
16.1247;4981;14.25;0.4
20.2338;4986.58;12.96;0.31
16.502;4983.4;16.78;0
21.0542;4986.52;18.78;0.17
14.0738;4770.81;35.99;0.47
22.8152;4902.66;38.68;-0.01
8.97394;2530.75;12.78;0.34
11.3474;4569.1;10.69;0.3
13.0701;4942.4;19.69;0.35
23.1063;4745.18;44.04;0.49
24.3556;4867.23;44.28;-0.33
10.3055;3710.41;6.55;0.23
6.36103;1149.58;28.08;-0.34
12.6979;4813.91;24.47;0.39
4.75795;393.235;12.68;-0.19
16.8477;4983.83;21.91;-0.39
20.0737;4984.77;18.95;0.21
6.1364;943.031;32.05;0.05
5.5983;662.068;25.27;0.06
8.64764;2331.38;15.41;0.07
18.0597;4966.01;24.68;-0.34
17.762;4893.06;35.53;-0.12
20.7258;4975.74;26.12;-0.25
24.5767;4987.15;6.31;-0.01
20.4009;4982.05;21.83;-0.3
21.116;4986.81;12.04;-0.42
9.00971;3322.89;43.64;-0.42
7.86509;2151.6;30.74;-0.34
13.0628;4870.64;22.44;0.24
17.5264;4985.75;6.97;0.44
9.07275;2582.31;10.16;0.33
17.7377;4986.45;9.99;-0.15
20.4072;4933.08;36.44;-0.36
9.89076;3669.82;17.71;-0.23
22.4792;4986.94;14.8;0.08
5.33455;747.997;25.47;-0.47
8.47199;2680.49;13.56;-0.49
13.8243;4833.94;29.82;-0.19
25.2342;4945.18;38.76;-0.32
23.007;4979.51;23.65;-0.28
24.8278;4970.63;22.26;0.36
13.4021;4882.38;21.48;0.17
21.3494;4909.83;38.33;-0.11
23.8469;4884.63;39.48;-0.35
15.1031;4822.1;31.68;0.34
15.229;4983.66;10.82;-0.01
6.2618;1167.92;29.92;-0.39
24.4257;4986.58;14.26;0.02
24.031;4979.65;22.62;0.2
17.6928;4918.52;38;-0.02
8.54999;2338.56;21.86;0
12.228;4339.57;41.4;-0.18
14.3231;4843.87;21.37;0.17
17.1821;4892.16;26.38;-0.05
24.4285;4986.21;11.96;0.31
7.52131;1664.75;29.23;0.14
3.17748;90.5685;24.94;0.07
24.124;4963.25;28.2;-0.06
15.6748;4985.24;9.69;-0.17
3.85594;167.801;7.34;0.08
9.01492;2721.02;13.65;-0.15
16.8043;4963.12;32.03;0.37
10.2087;3649.53;11.12;0.16
12.9024;4982.01;6.38;0.01
5.94844;898.704;30.7;-0.22
22.0266;4972.33;33.13;0.35
11.3845;4660.78;15.8;-0.07
4.79258;467.698;36.12;-0.09
20.0193;4985.09;17.8;0.12
22.5879;4986.45;6.44;-0.45
10.5775;4028.8;12.61;0.15
22.5807;4985.82;17.79;0.34
3.50852;176.709;27.51;-0.37
22.0266;4967.26;39.34;-0.16
8.67827;2462.99;28.65;0.15
14.5678;4980.11;21.66;-0.46
12.8638;4630.12;39.56;0.17
20.7936;4986.59;5.56;-0.34
5.78894;833.814;18.51;-0.29
19.1113;4986.27;14.71;-0.13
14.9393;4984.62;14.39;-0.32
4.81632;584.54;37.68;-0.45
5.85014;703.17;13.86;0.17
3.54209;135.195;14.82;-0.1
4.29632;284.515;26.07;0.05
24.678;4839.86;40.18;0.46
21.8045;4987.04;14.88;0.33
24.5174;4966.45;26.15;0.32
5.49909;773.507;38.22;-0.32
21.462;4892.39;44.8;0.2
24.2704;4918.08;37.87;-0.24
19.1473;4809.26;43.59;0.44
16.2813;4871.84;40.94;0.14
15.6891;4957.54;25.82;0.35
24.9027;4943.25;31.49;0.34
16.6819;4772.04;36.59;-0.19
6.12014;842.715;7.38;-0.16
11.6741;4741.21;18.02;-0.12
6.58667;1059.59;20.13;0.34
20.7955;4985.69;20.62;-0.35
11.2425;4614.66;21.05;-0.23
14.9476;4984.28;5.87;0.46
15.9823;4650.1;41.35;0.03
14.0638;4984.66;5.51;-0.38
19.3561;4957.55;33.88;0.24
4.88913;394.445;9.58;0.32
7.55786;1908.52;40.21;-0.26
21.0917;4986.77;7.24;-0.4
17.7657;4834.89;42.97;-0.2
6.82074;1143.97;10.59;0.5
23.1315;4977.91;22.43;-0.37
7.73911;2065.39;29.55;-0.36
17.9757;4986.8;15.03;-0.38
15.0453;4974.96;18.49;-0.34
23.1807;4987.16;6.02;-0.02
18.4253;4977.42;35.06;0
12.9218;4981.99;12.93;-0.19
6.71187;1270.91;32.14;-0.17
16.5701;4984.12;18.07;-0.4
18.6914;4985;13.1;0.15
21.7656;4987.16;11.97;-0.14
20.2071;4986.79;8.85;-0.13
16.5436;4985.44;5.8;-0.37
6.97399;1338.6;27.98;0.38
24.0918;4987.17;12.81;0.45
17.6149;4986.2;11.15;-0.23
16.0099;4984.72;8.66;0.07
13.8971;4729.03;35.01;-0.38
19.9748;4939.83;32.64;0.46
21.242;4985.87;12.05;-0.26
18.1974;4985.2;12.75;-0.38
24.0856;4987.16;5.06;-0.05
3.14666;86.4847;21.91;-0.1
3.0945;97.6992;24.17;-0.38
19.449;4925.72;32.51;0.28
11.0517;4249.33;29.72;-0.28
18.4087;4963.94;25.1;0.24
18.3496;4929.3;34.86;-0.04
17.3735;4821.95;43.23;-0.28
23.1439;4982;19.11;-0.16
11.3753;4697.04;30.53;-0.47
23.8078;4939.17;41.35;-0.49
11.9768;4463.09;17.84;0.12
6.90579;1401.38;30.65;-0.1
10.4789;4362.8;9.64;-0.27
4.47684;320.639;20.82;0.33
15.0303;4884.41;36.57;-0.31
21.554;4958.61;27.3;0.06
