Average wind speed (m/s);Average power (kW);Input turbulence intensity (%);Input alpha
16.4419;4984.81;9.67;-0.32
14.9992;4983.73;20.32;-0.27
25.6058;4870.19;41.92;-0.1
21.5994;4906.06;39.48;-0.38
14.1093;4707.85;43.94;0.07
20.3497;4965.66;28.71;-0.24
20.1744;4981.17;24.73;0.21
16.016;4890.49;36.9;-0.28
21.7946;4962.18;33.33;-0.39
17.618;4985.43;12.38;0.18
20.4037;4985.89;21.65;0.37
10.3929;3904.64;23.66;-0.06
14.185;4917.17;20.95;-0.21
15.1804;4984.45;7.69;0.33
7.77262;2110.08;20.94;-0.48
6.59733;1059.16;18.8;-0.02
14.1917;4770.92;36.4;-0.05
8.47408;2389.24;31.2;0.5
21.3242;4953.72;31.96;-0.45
14.4874;4983.93;7.43;0.21
14.2373;4853.44;23.8;-0.31
3.31168;97.3462;14.46;0.31
24.6333;4908.17;34.53;-0.14
11.6867;4726.08;16.75;-0.15
23.276;4978.83;20.53;-0.46
25.1582;4879.38;39.71;0.48
17.3292;4985.55;7.39;-0.38
16.266;4979.88;20.79;0.23
6.62296;1079.63;26.01;0.27
18.8731;4917.86;31.89;0.22
16.537;4983.38;14.59;0.14
18.4582;4986.69;9.79;-0.03
8.89929;2422.57;6.44;0.43
14.2429;4897.88;28.52;0.06
5.46305;718.281;19.74;-0.35
20.7722;4972.72;26.57;-0.24
15.7848;4846.15;42.47;-0.41
12.0432;4563.31;31.81;0.37
6.31475;1071.66;28.83;-0.15
4.86339;391.666;8.08;-0.03
13.4254;4981.57;13.95;-0.36
10.9621;3940.5;28.91;0.4
22.7032;4941.08;33.83;0.28
16.9067;4935;32.93;-0.04
5.90102;865.638;37.45;0.19
11.1834;4978.44;6.7;-0.48
16.1914;4953.9;29.94;-0.13
7.67655;1910.06;41.15;0.04
18.8645;4713.87;43.54;0.14
12.0283;4753.01;19.93;0.42
13.9757;4668.98;44.75;0.3
5.41722;630.523;26.65;0.4
23.4418;4982.64;18.74;0.32
22.4103;4986.15;16.49;-0.48
23.2447;4829.3;42.41;0.48
17.5815;4966.82;29.04;0.19
22.2085;4867.76;42.8;-0.02
18.7219;4985.88;15.35;0.27
15.9453;4972.17;21.28;0.02
5.60362;731.478;13.87;-0.38
7.91091;1956.34;27.77;-0.12
4.76834;428.335;23.53;-0.17
6.70701;1098.11;20.9;0.04
20.2353;4892.14;35.34;-0.39
15.8857;4984.87;5.55;0.42
11.6197;4682.92;19.31;0.44
15.0306;4961.66;27.52;-0.49
21.7271;4984.94;15.96;0.43
19.2751;4985.84;14.09;-0.05
11.2327;4044.14;32.43;-0.08
9.79064;3276.48;17.69;0.35
24.3834;4978.97;22.98;-0.46
10.7153;4179.67;8.04;0.42
8.6854;2698.26;17.98;-0.35
12.0896;4970.52;8.3;0.06
24.3179;4986.99;11.51;-0.27
12.7595;4481.63;39.75;-0.3
7.97853;2087.98;11.87;-0.38
12.264;4634.18;24.09;0.19
14.5366;4983.11;13.72;0.36
12.3148;4544.73;24.46;0.31
7.80906;1878.27;35.47;0.44
10.984;4662.04;7.7;-0.26
16.337;4935;19.96;-0.05
9.07793;2949.17;44.27;0.06
3.57888;168.624;44.73;-0.05
14.3235;4825.39;32.48;-0.36
17.1046;4942.24;30.19;-0.05
19.5919;4986.38;9.82;-0.06
8.17203;2202.85;36.25;0.49
19.5699;4859.04;39.38;-0.12
3.12192;73.7373;18.93;0.26
22.3754;4950.88;29.15;0.23
7.50364;1866.11;37.42;-0.21
4.0136;341.575;35.45;-0.5
3.15828;123.471;23.04;-0.5
7.37135;1407.14;13.16;-0.01
25.4642;4856.96;43.83;0.02
5.62581;714.33;32.28;0.01
7.19743;1363.89;13.31;-0.08
13.6589;4948.13;18.75;0.25
