Average wind speed (m/s);Average tip deflection out-of-plane (m);Average tip deflection in-plane (m);Input turbulence intensity (%);Input alpha
22.7553;0.68507;-0.178971;44.7;-0.31
22.5232;0.607921;-0.176064;40.75;-0.5
5.74543;2.04763;-0.201183;39.93;0.49
11.8679;4.01299;-0.51258;6.19;-0.42
18.8455;1.64158;-0.282712;16.71;-0.16
22.1038;0.869871;-0.196459;20.6;-0.24
22.2283;0.89146;-0.196786;23.37;0.11
13.3367;3.59038;-0.46864;12.65;-0.05
8.381;3.65602;-0.386179;9.57;-0.26
20.9531;0.873148;-0.214387;40.65;0.47
22.0883;0.785279;-0.193235;22.32;-0.35
6.83523;2.63403;-0.267688;30.17;-0.07
23.1416;0.541192;-0.160983;26.21;0.39
6.54208;2.43105;-0.24534;34.12;0.09
15.1762;2.68654;-0.382588;32.89;0.31
10.4386;5.08145;-0.558628;6.06;-0.19
23.9807;0.618978;-0.152445;11.3;-0.21
21.667;0.977613;-0.20969;40.87;-0.07
10.9182;4.74585;-0.537462;21.49;0.07
20.0328;1.3857;-0.252563;13.56;-0.16
12.1585;3.5973;-0.450964;38.12;0.3
6.02647;2.1551;-0.210845;22.98;0.37
22.3272;0.720208;-0.190505;43.42;0.34
5.44629;2.05319;-0.199992;42.6;-0.26
5.88067;2.05265;-0.195612;13.9;0.28
5.97854;2.21809;-0.216658;18.55;-0.2
23.1962;0.621898;-0.164849;12.49;0.36
18.8277;1.61562;-0.282174;5.19;0.29
9.9833;3.8353;-0.439947;42.3;0.2
12.491;3.44678;-0.438483;29.52;-0.08
10.2237;3.89155;-0.450459;33.49;0.4
7.93246;3.30483;-0.347717;7.87;-0.22
3.63255;1.21138;-0.0993695;31.05;0
3.36666;1.13824;-0.0902161;25.28;-0.21
23.9358;0.54676;-0.150693;22.46;0.22
3.29303;1.09482;-0.0865137;22.75;-0.22
13.7747;2.94345;-0.411877;44.54;-0.29
13.5028;3.47315;-0.456372;26.15;0.19
12.7418;3.9973;-0.502709;10.3;0.14
22.4972;0.842411;-0.184523;27.91;-0.11
16.8128;2.17179;-0.341101;6.16;-0.18
24.5915;0.50221;-0.141619;17.35;-0.25
19.8821;1.14894;-0.2379;28.98;0.49
20.8497;1.03796;-0.227223;15.59;-0.4
4.13181;1.46279;-0.128183;43.84;-0.38
9.15139;4.26716;-0.457841;20.03;-0.27
25.0745;0.387331;-0.135343;26.78;-0.15
21.7986;0.886914;-0.20206;25.47;-0.26
16.017;2.45429;-0.366871;19.23;-0.11
10.4853;3.99423;-0.468947;37.3;-0.1
5.8731;2.17408;-0.21274;28.89;-0.2
10.8691;3.8306;-0.467259;43.27;-0.23
20.3247;1.19746;-0.236879;14.7;0.35
8.63202;3.71478;-0.396363;26.29;-0.05
12.2459;4.06519;-0.499554;22.65;0.25
8.55452;3.6285;-0.383296;11.55;-0.02
3.92289;1.27518;-0.108986;38.21;0.48
15.2419;2.67508;-0.378245;35.84;0
5.4109;1.92583;-0.184772;40.14;0.1
25.1367;0.41711;-0.123417;13.17;-0.24
8.89742;3.9164;-0.41786;19.91;-0.12
15.639;2.5593;-0.376997;37.4;-0.16
13.883;3.11212;-0.430749;26.64;-0.3
14.5771;2.48738;-0.387323;36.54;-0.46
16.7533;2.22043;-0.343906;7.57;-0.09
10.3511;4.60054;-0.526313;20.18;-0.39
10.0753;4.29608;-0.489745;32.46;-0.24
12.5778;3.55894;-0.455991;36.44;-0.14
5.44224;1.93214;-0.185162;38.53;0.07
16.7291;2.24687;-0.348748;25.3;0.06
19.3665;1.32048;-0.261632;5.09;-0.43
7.07869;3.00479;-0.314704;27.29;-0.47
14.9652;2.65011;-0.383104;38.9;-0.18
15.1671;2.75402;-0.392682;23.86;0.24
14.471;2.50428;-0.371686;36.75;-0.43
25.0071;0.48466;-0.12969;16.57;-0.06
6.13236;2.42458;-0.245189;30.71;-0.4
15.9088;2.22156;-0.356768;7.71;-0.41
20.606;0.938067;-0.227094;23.07;-0.48
11.4141;4.59077;-0.546661;12.78;-0.28
10.5569;4.57502;-0.517237;19.23;-0.11
24.3632;0.502432;-0.141595;27.61;0.09
16.9677;2.15902;-0.338042;15.27;0.11
12.3102;3.74932;-0.466392;23.74;0.09
24.2966;0.401053;-0.14359;25.36;0.45
15.7772;2.41541;-0.370021;12.67;0.41
14.7586;2.77472;-0.399682;29.56;0.45
10.4756;5.21942;-0.596754;5.39;-0.47
5.46443;1.884;-0.177933;26.26;0.46
20.4084;1.32964;-0.243042;7.27;0.11
9.64791;4.6717;-0.511921;18.88;-0.36
6.8996;2.68689;-0.273082;22.49;-0.17
13.9727;2.9678;-0.408756;42.32;0.39
7.26312;2.88261;-0.297123;18.91;-0.2
6.75648;2.48009;-0.248602;19.89;0.3
16.0552;2.12033;-0.331075;42.93;0.4
25.1509;0.288295;-0.11371;39.25;0.31
14.2015;2.92775;-0.404603;37.96;0.09
4.08413;1.32849;-0.111508;17.95;0.2
14.29;3.15608;-0.431594;19.24;0.06
6.25503;2.29852;-0.226671;21.75;-0.07
20.0859;1.31025;-0.248943;11.32;-0.27
17.7157;1.94353;-0.315976;7.97;0.2
22.0069;0.818079;-0.194117;37.63;0.02
3.29433;1.04418;-0.0823961;19.28;0.4
3.42012;1.19155;-0.0973821;12.39;-0.45
8.34249;3.56249;-0.375753;17.14;-0.13
23.2847;0.684445;-0.166321;13.88;0.26
5.33543;1.81151;-0.16742;10.75;0.39
18.5234;1.5289;-0.280997;24.64;0.4
6.02404;2.39534;-0.244133;44.1;-0.46
23.3959;0.620003;-0.161686;16.5;0.32
22.2128;0.574619;-0.179464;35.89;0.48
8.86798;4.17378;-0.454855;22.26;-0.44
12.7621;3.47902;-0.452508;40.81;-0.2
25.4102;0.162632;-0.108746;34.84;-0.35
7.84611;3.14295;-0.333989;36.34;0.47
21.2326;0.938998;-0.211069;9.41;0.45
18.2918;1.73277;-0.295255;32.48;-0.01
15.8103;2.46518;-0.372524;7.84;0.33
7.11408;2.67297;-0.275776;34.19;0.18
11.5099;4.24697;-0.505366;22.19;-0.07
17.512;2.04374;-0.324617;20.59;-0.01
9.75382;4.40642;-0.472424;8.44;0.22
21.654;0.905791;-0.205573;36.05;-0.27
11.86;4.2166;-0.508918;27.89;0.16
15.1557;2.61727;-0.378671;43.27;0.19
7.34414;2.99226;-0.311585;8.01;-0.33
20.9164;0.983011;-0.218559;14.85;0.46
21.3956;0.828867;-0.209854;39.81;-0.44
5.93355;2.11195;-0.206641;31.33;0.31
16.3751;2.41455;-0.361039;20.25;0.05
12.6024;3.50288;-0.451167;30.4;-0.23
16.5853;2.21126;-0.340261;37.66;-0.1
20.8381;1.0259;-0.222234;42.76;-0.31
8.49364;3.46458;-0.367057;9.43;0.43
6.04704;2.23785;-0.218212;8.25;-0.2
25.9603;0.232381;-0.108051;44.75;0.09
11.629;4.29613;-0.520445;20.97;-0.27
4.03046;1.3422;-0.113465;21.62;-0.03
16.0584;2.45553;-0.368346;18.14;0.14
24.4579;0.445809;-0.142904;35.24;0.08
11.4072;4.31068;-0.505791;22.76;0.04
12.5147;3.38332;-0.450362;37.41;-0.39
12.2286;4.3302;-0.530528;5.51;0.17
5.75374;2.07287;-0.200662;32.24;0
8.14172;3.42705;-0.360495;22.54;-0.14
19.3735;1.33109;-0.254712;34.23;0.45
24.4134;0.385076;-0.131786;5.31;0.41
24.024;0.550788;-0.146677;23.02;-0.15
8.86373;3.74944;-0.39655;10.05;0.25
24.9794;0.486834;-0.129629;17.66;0.11
13.4635;3.10407;-0.425087;39.92;-0.3
23.6268;0.593996;-0.152691;35.02;-0.11
16.8689;2.03261;-0.332363;16.55;-0.32
22.2683;0.822508;-0.189;7.99;0.35
6.64463;2.70426;-0.278583;27.57;-0.36
14.4075;2.8967;-0.411553;23.16;0.5
11.5797;4.45974;-0.544354;5.22;-0.31
4.7748;1.65817;-0.156074;40.97;0.48
12.1295;3.44942;-0.428683;44.03;0.33
4.84826;1.60264;-0.142493;10.49;0.39
7.03485;2.70845;-0.276811;24.63;-0.06
16.5327;2.13949;-0.344024;15.3;0.42
20.2674;0.963344;-0.234011;29.08;-0.47
3.68572;1.22389;-0.10006;10.56;-0.19
17.7127;1.96202;-0.317159;15.55;-0.07
17.8649;1.87797;-0.307655;25.83;-0.23
16.5093;2.31866;-0.353922;7.04;0.12
14.535;2.72574;-0.382876;39.66;0.29
11.3125;4.17066;-0.505546;25.25;-0.46
13.6867;3.33238;-0.448698;7.56;-0.1
15.7149;2.22165;-0.359765;25.63;-0.48
10.0752;4.47515;-0.490847;19.46;0.25
7.481;2.93273;-0.303703;12.48;-0.07
16.177;2.45903;-0.367231;24.18;0.17
15.4759;2.51912;-0.378732;18.53;-0.3
10.1217;4.9749;-0.554953;12.46;-0.39
7.81701;3.33774;-0.365632;40.01;-0.47
24.2586;0.423895;-0.150828;43.94;-0.19
22.9084;0.777191;-0.17803;20.76;0.19
16.8982;2.19986;-0.339901;14.13;0.07
8.54666;4.01095;-0.434215;15.06;-0.48
23.5591;0.490962;-0.151931;8.45;0.46
14.9381;2.51041;-0.386201;7.63;-0.43
21.7727;0.775846;-0.194987;23.41;0.48
9.23546;4.16213;-0.446146;23.78;-0.08
19.8357;1.42232;-0.253243;32.75;-0.11
24.1708;0.632178;-0.150626;12.44;-0.12
15.5879;2.5842;-0.376864;34.21;-0.19
3.60418;1.23716;-0.104988;43.04;-0.26
23.5785;0.567927;-0.153122;41.52;0.18
16.551;2.09627;-0.341668;15.03;0.49
17.2567;2.10248;-0.330373;12.16;-0.02
18.6294;1.70271;-0.290483;23.46;-0.19
9.67064;3.45145;-0.39954;36.1;-0.18
16.0192;2.31893;-0.352302;31.63;0.21
16.4447;2.13319;-0.345106;37.21;0.46
24.6992;0.401327;-0.134278;35.85;0.05
8.94767;3.95463;-0.42004;14.06;-0.08
21.9714;0.70922;-0.200129;40.41;-0.42
6.08871;2.31763;-0.232256;40.8;-0.12
15.581;2.39419;-0.353278;43.28;0.3
3.48644;1.19555;-0.0986498;33.54;-0.27
4.71696;1.63828;-0.146929;30.55;-0.2
9.9833;4.68453;-0.500422;5;0.01
18.3557;1.47057;-0.2857;39.05;-0.47
6.83189;2.5384;-0.257478;24.61;0.18
21.9608;0.904824;-0.192593;35.02;0.36
12.0498;4.111;-0.50035;22.87;0.29
15.4414;2.50678;-0.377467;15.37;-0.27
3.62091;1.25553;-0.10314;29.19;-0.34
3.88522;1.28717;-0.109919;33.7;0.22
6.48812;2.45545;-0.249047;36.9;0.03
13.0388;3.72761;-0.479186;19.61;-0.1
5.04357;1.74436;-0.16085;29.6;0.05
5.8425;2.21299;-0.220925;42.59;-0.05
4.47445;1.52429;-0.136651;43.66;0.45
20.1839;1.22793;-0.243925;39.42;-0.11
4.57661;1.71595;-0.160541;44.01;-0.45
17.2803;1.84518;-0.31458;33.8;-0.3
22.8352;0.754323;-0.175781;12.85;0.27
10.275;4.78232;-0.51691;5.79;0.22
6.66672;2.51999;-0.254691;36.29;-0.01
8.52078;3.59837;-0.378429;13.31;-0.01
13.1449;3.27179;-0.452017;15.03;-0.42
5.83365;2.07988;-0.202533;32.93;0.37
15.4917;2.78337;-0.392668;26.32;0
4.10939;1.4318;-0.125301;37.07;-0.07
7.76504;3.31068;-0.348961;13.09;-0.37
13.4099;3.07724;-0.408656;36.85;0.09
11.4899;4.09041;-0.484381;26.4;0.01
7.99571;3.13793;-0.329584;12.67;0.38
19.2837;1.53153;-0.273084;31.75;-0.01
17.3488;1.98438;-0.321941;13.73;-0.23
11.5345;3.61368;-0.439821;38.89;0.02
9.70953;4.40203;-0.478072;25.64;0.04
5.65715;2.09167;-0.2041;38.35;-0.17
24.7597;0.395596;-0.135963;34.14;-0.24
8.1399;3.50429;-0.371167;19.74;-0.22
15.1425;2.53662;-0.38166;35.82;0.46
14.312;3.04158;-0.419761;35.01;-0.05
19.3457;1.34891;-0.262265;19.58;-0.37
9.80183;4.56532;-0.489691;10.25;-0.04
16.1247;2.29815;-0.357967;14.25;0.4
20.2338;1.2722;-0.243793;12.96;0.31
16.502;2.31079;-0.351185;16.78;0
21.0542;1.14181;-0.225663;18.78;0.17
14.0738;2.88282;-0.407307;35.99;0.47
22.8152;0.661936;-0.178049;38.68;-0.01
8.97394;3.82772;-0.407941;12.78;0.34
11.3474;4.79261;-0.55122;10.69;0.3
13.0701;3.68737;-0.479222;19.69;0.35
23.1063;0.589237;-0.165301;44.04;0.49
24.3556;0.42099;-0.140382;44.28;-0.33
10.3055;4.78948;-0.518457;6.55;0.23
6.36103;2.5097;-0.254442;28.08;-0.34
12.6979;3.85927;-0.488707;24.47;0.39
4.75795;1.64694;-0.146032;12.68;-0.19
16.8477;1.9328;-0.328269;21.91;-0.39
20.0737;1.32378;-0.247819;18.95;0.21
6.1364;2.26283;-0.222438;32.05;0.05
5.5983;1.97761;-0.187884;25.27;0.06
8.64764;3.67656;-0.38874;15.41;0.07
18.0597;1.71805;-0.298372;24.68;-0.34
17.762;1.78781;-0.30284;35.53;-0.12
20.7258;1.13645;-0.230078;26.12;-0.25
24.5767;0.596918;-0.141315;6.31;-0.01
20.4009;1.18034;-0.239211;21.83;-0.3
21.116;0.953591;-0.217539;12.04;-0.42
9.00971;4.02283;-0.453861;43.64;-0.42
7.86509;3.46245;-0.368254;30.74;-0.34
13.0628;3.72728;-0.47857;22.44;0.24
17.5264;1.83866;-0.313114;6.97;0.44
9.07275;3.89229;-0.414919;10.16;0.33
17.7377;1.93679;-0.314851;9.99;-0.15
20.4072;1.0876;-0.234653;36.44;-0.36
9.89076;4.6342;-0.506661;17.71;-0.23
22.4792;0.90704;-0.190988;14.8;0.08
5.33455;2.04933;-0.199077;25.47;-0.47
8.47199;3.97764;-0.428403;13.56;-0.49
13.8243;3.1784;-0.430769;29.82;-0.19
25.2342;0.176524;-0.122788;38.76;-0.32
23.007;0.684565;-0.17737;23.65;-0.28
24.8278;0.300913;-0.122309;22.26;0.36
13.4021;3.53243;-0.462278;21.48;0.17
21.3494;1.01534;-0.216044;38.33;-0.11
23.8469;0.459943;-0.150512;39.48;-0.35
15.1031;2.69211;-0.387992;31.68;0.34
15.229;2.74947;-0.394217;10.82;-0.01
6.2618;2.47217;-0.251698;29.92;-0.39
24.4257;0.584867;-0.140842;14.26;0.02
24.031;0.555429;-0.153376;22.62;0.2
17.6928;1.89823;-0.309637;38;-0.02
8.54999;3.65757;-0.387544;21.86;0
12.228;3.45557;-0.437825;41.4;-0.18
14.3231;3.10547;-0.422251;21.37;0.17
17.1821;2.10178;-0.327986;26.38;-0.05
24.4285;0.437796;-0.133997;11.96;0.31
7.52131;3.00561;-0.310969;29.23;0.14
3.17748;1.02809;-0.0793731;24.94;0.07
24.124;0.511219;-0.144689;28.2;-0.06
15.6748;2.53378;-0.376381;9.69;-0.17
3.85594;1.24558;-0.101978;7.34;0.08
9.01492;4.06303;-0.430714;13.65;-0.15
16.8043;2.06405;-0.33674;32.03;0.37
10.2087;4.72652;-0.51122;11.12;0.16
12.9024;3.84413;-0.49086;6.38;0.01
5.94844;2.22714;-0.218523;30.7;-0.22
22.0266;0.690803;-0.190522;33.13;0.35
11.3845;4.70156;-0.547896;15.8;-0.07
4.79258;1.67184;-0.152115;36.12;-0.09
20.0193;1.37524;-0.253046;17.8;0.12
22.5879;0.683977;-0.183453;6.44;-0.45
10.5775;4.84812;-0.534847;12.61;0.15
22.5807;0.730346;-0.177615;17.79;0.34
3.50852;1.23137;-0.101332;27.51;-0.37
22.0266;0.747144;-0.196877;39.34;-0.16
8.67827;3.56623;-0.382156;28.65;0.15
14.5678;2.61818;-0.397029;21.66;-0.46
12.8638;3.64861;-0.462992;39.56;0.17
20.7936;1.12259;-0.228524;5.56;-0.34
5.78894;2.17941;-0.21266;18.51;-0.29
19.1113;1.59534;-0.276229;14.71;-0.13
14.9393;2.64642;-0.3924;14.39;-0.32
4.81632;1.80798;-0.171077;37.68;-0.45
5.85014;2.04521;-0.19389;13.86;0.17
3.54209;1.16732;-0.092482;14.82;-0.1
4.29632;1.43578;-0.123695;26.07;0.05
24.678;0.296711;-0.123545;40.18;0.46
21.8045;0.920936;-0.203257;14.88;0.33
24.5174;0.438784;-0.145608;26.15;0.32
5.49909;2.06181;-0.200878;38.22;-0.32
21.462;0.947494;-0.216887;44.8;0.2
24.2704;0.497045;-0.154684;37.87;-0.24
19.1473;1.44436;-0.263205;43.59;0.44
16.2813;2.32442;-0.351912;40.94;0.14
15.6891;2.51843;-0.375502;25.82;0.35
24.9027;0.308451;-0.123935;31.49;0.34
16.6819;2.01172;-0.326213;36.59;-0.19
6.12014;2.2486;-0.219026;7.38;-0.16
11.6741;4.49615;-0.533374;18.02;-0.12
6.58667;2.40234;-0.24001;20.13;0.34
20.7955;1.05124;-0.225397;20.62;-0.35
11.2425;4.51132;-0.53289;21.05;-0.23
14.9476;2.67348;-0.395902;5.87;0.46
15.9823;2.39143;-0.351089;41.35;0.03
14.0638;2.90228;-0.419137;5.51;-0.38
19.3561;1.42534;-0.266332;33.88;0.24
4.88913;1.61782;-0.143498;9.58;0.32
7.55786;3.14778;-0.333592;40.21;-0.26
21.0917;1.00949;-0.220734;7.24;-0.4
17.7657;1.73295;-0.298433;42.97;-0.2
6.82074;2.4968;-0.252819;10.59;0.5
23.1315;0.646361;-0.176581;22.43;-0.37
7.73911;3.34952;-0.355555;29.55;-0.36
17.9757;1.67283;-0.298809;15.03;-0.38
15.0453;2.65924;-0.391909;18.49;-0.34
23.1807;0.835074;-0.175603;6.02;-0.02
18.4253;1.62052;-0.291184;35.06;0
12.9218;3.71687;-0.481849;12.93;-0.19
6.71187;2.6127;-0.264913;32.14;-0.17
16.5701;2.02471;-0.337545;18.07;-0.4
18.6914;1.69104;-0.287935;13.1;0.15
21.7656;1.03429;-0.205475;11.97;-0.14
20.2071;1.36836;-0.249147;8.85;-0.13
16.5436;2.09333;-0.341509;5.8;-0.37
6.97399;2.63452;-0.268939;27.98;0.38
24.0918;0.400718;-0.139899;12.81;0.45
17.6149;1.91438;-0.315727;11.15;-0.23
16.0099;2.47909;-0.368909;8.66;0.07
13.8971;2.85972;-0.40627;35.01;-0.38
19.9748;1.08639;-0.237186;32.64;0.46
21.242;1.08278;-0.218728;12.05;-0.26
18.1974;1.63018;-0.292372;12.75;-0.38
24.0856;0.669343;-0.152646;5.06;-0.05
3.14666;1.03561;-0.0806425;21.91;-0.1
3.0945;1.05585;-0.0834964;24.17;-0.38
19.449;1.41195;-0.260796;32.51;0.28
11.0517;4.07849;-0.487227;29.72;-0.28
18.4087;1.74203;-0.297004;25.1;0.24
18.3496;1.78178;-0.297816;34.86;-0.04
17.3735;1.87033;-0.314124;43.23;-0.28
23.1439;0.783849;-0.175251;19.11;-0.16
11.3753;3.99336;-0.50069;30.53;-0.47
23.8078;0.354648;-0.154322;41.35;-0.49
11.9768;3.96435;-0.483022;17.84;0.12
6.90579;2.72414;-0.278215;30.65;-0.1
10.4789;5.14151;-0.571343;9.64;-0.27
4.47684;1.47268;-0.128004;20.82;0.33
15.0303;2.56052;-0.380583;36.57;-0.31
21.554;1.07426;-0.213477;27.3;0.06
11.1788;3.72415;-0.458148;40.64;-0.46
13.3349;3.53514;-0.464823;23.64;0.36
18.4163;1.6879;-0.29239;15.99;-0.23
21.4438;1.01459;-0.212493;26.24;0.19
8.21158;3.29613;-0.348811;15.44;0.48
4.56849;1.56533;-0.136368;11.17;-0.16
16.2649;2.30441;-0.354996;13.8;-0.21
7.63426;2.92252;-0.303315;10.06;0.26
14.8046;2.90088;-0.409445;12.96;0.12
23.921;0.550293;-0.152177;38.16;-0.33
14.0555;2.28859;-0.336372;43.61;0.49
11.5432;4.88348;-0.564496;11.85;0.12
13.267;3.43036;-0.447587;26.11;0.05
22.4265;0.670286;-0.185239;27.64;0.41
5.49266;1.8775;-0.173443;6.73;0.21
13.6803;3.3945;-0.453397;6.55;0.07
8.94468;3.52969;-0.388018;33.35;0.42
19.8339;1.40641;-0.256974;39.87;-0.02
15.8389;2.21273;-0.356155;29.18;-0.46
22.7092;0.82701;-0.190339;29;-0.2
16.4043;2.27481;-0.350949;38.5;0.04
22.1212;0.925425;-0.195075;9.43;0.22
9.15386;3.66718;-0.401852;28.91;0.26
18.9543;1.51064;-0.270514;39.38;-0.09
4.42087;1.48532;-0.129251;19.6;-0.07
22.152;0.78531;-0.192277;36.86;-0.28
20.2768;1.34674;-0.249261;22.83;0.02
20.5536;1.28086;-0.239067;15;0.09
6.01638;2.12752;-0.204687;8.41;0.11
9.26729;4.05718;-0.444445;36.96;-0.06
19.7551;1.33545;-0.254452;12.45;-0.32
5.82781;2.09467;-0.205146;33.99;0.32
3.97969;1.29671;-0.110384;35.99;0.33
5.17406;1.74722;-0.163936;39.41;0.46
8.60809;3.62577;-0.390316;36.87;0.28
13.4187;3.4889;-0.45417;19.8;0.06
5.70249;2.01377;-0.19002;7.13;-0.06
20.6325;0.999418;-0.225368;34.26;0.44
19.7012;1.2189;-0.255056;36.8;-0.33
10.1299;3.72323;-0.42762;37.93;0.15
7.28017;2.72743;-0.279736;7.82;0.31
9.48915;4.13602;-0.470406;28.34;-0.44
14.3439;3.09818;-0.425543;21.88;0.15
14.7864;2.92447;-0.409263;16.56;0.04
16.9792;2.13842;-0.337105;6.11;-0.15
9.40957;4.05176;-0.442162;26.82;0.15
9.97513;4.42153;-0.485234;18.07;0.02
20.9765;1.01035;-0.220553;27.34;0.47
7.54241;3.0311;-0.314496;34.33;-0.03
20.2666;1.30603;-0.245773;10.91;0.25
11.125;4.68838;-0.541311;17.77;-0.16
7.75844;3.04234;-0.316776;18.53;0.3
6.11091;2.28292;-0.224588;31.88;-0.08
11.7205;3.78379;-0.462087;32.95;-0.01
5.64785;2.02546;-0.196637;40.41;0
24.0441;0.548666;-0.144952;6.38;0.28
21.8627;0.95602;-0.204196;25;-0.23
10.0495;4.81538;-0.525261;10.63;-0.22
10.0342;4.56512;-0.494517;10.36;0.41
22.499;0.85414;-0.189469;34.12;0.21
5.72716;1.99875;-0.190671;18.46;0.25
9.94667;4.82675;-0.54312;15.45;-0.47
4.70924;1.57229;-0.140067;28.92;0.3
20.9945;0.896156;-0.219638;22;-0.46
16.8023;2.22563;-0.34309;9.98;0.08
24.7725;0.430444;-0.139758;37.61;0.22
6.40137;2.32224;-0.230232;19.34;0.33
13.9577;3.22153;-0.440958;9.65;0.32
4.968;1.66622;-0.152011;15.45;0.46
23.9539;0.569637;-0.151096;9.51;-0.31
18.8546;1.65889;-0.284928;16.24;-0.09
14.9609;2.49448;-0.356151;37.26;0.36
20.2141;1.07855;-0.241757;40.73;-0.48
10.2348;4.1818;-0.493152;38.84;-0.48
12.4786;3.83886;-0.492969;15.81;-0.29
10.3735;3.91219;-0.461352;40.03;-0.2
16.1566;2.41788;-0.363705;7.69;-0.07
10.624;4.29152;-0.492944;33.81;-0.07
20.9786;1.0567;-0.225724;33.98;0.28
9.12864;3.97139;-0.431188;22.72;-0.06
7.73474;3.25678;-0.346212;40.77;-0.3
14.316;2.79047;-0.394058;28.51;0.32
22.3427;0.902724;-0.19343;27.56;0.13
12.5844;3.43405;-0.437007;42.95;-0.11
4.02375;1.30259;-0.108605;17.47;0.29
25.3757;0.315656;-0.118582;36.38;0.12
13.1173;3.3842;-0.436468;31.4;0.16
20.1787;1.30774;-0.246605;41.59;-0.06
18.8717;1.52411;-0.275391;31.06;0.31
21.8204;0.821119;-0.201817;7.41;-0.44
6.58339;2.58895;-0.263669;11.63;-0.37
21.9348;0.72203;-0.196111;20.24;-0.46
17.8159;1.87952;-0.313536;21.5;-0.2
4.43486;1.49047;-0.133286;33.44;0.43
24.9212;0.30324;-0.130526;8.56;-0.45
6.40613;2.44388;-0.24337;15.65;-0.28
11.0225;3.92915;-0.46189;31.02;0.22
3.55289;1.11935;-0.0878783;14.17;0.32
12.2083;4.09938;-0.51396;12.98;-0.29
8.68647;3.62405;-0.383901;13.79;0.3
24.168;0.579748;-0.146586;12.52;0.16
10.1501;4.76816;-0.524036;15.56;-0.19
23.549;0.639381;-0.15811;21.68;0.13
13.6785;3.39663;-0.453628;9.55;0.06
11.5185;4.84292;-0.561474;9.21;0.17
21.2121;1.04827;-0.208989;37.66;-0.02
20.711;1.16759;-0.230868;9.67;0.3
17.4692;2.01707;-0.322824;26.05;-0.18
23.3782;0.731001;-0.167683;21.18;-0.07
22.4761;0.839451;-0.187963;5.01;-0.3
18.8285;1.52405;-0.277942;38.65;0.43
17.7609;1.6446;-0.301412;7.89;-0.46
9.62264;4.6788;-0.504233;6.53;-0.33
6.84937;2.55253;-0.259115;28.99;0.33
3.39164;1.1933;-0.0985714;43.11;-0.33
13.0192;3.21749;-0.450355;10.17;-0.47
17.5656;2.05793;-0.329563;34.37;0.18
9.32627;4.09832;-0.446413;28.2;-0.13
11.8723;3.44658;-0.42715;42.44;0.26
9.72643;4.15458;-0.465522;35.61;-0.13
9.81786;3.81492;-0.434801;39.2;0.07
9.62548;4.24619;-0.462438;20.26;0.13
6.13105;2.15795;-0.208841;13.69;0.31
5.02304;1.68492;-0.150607;5.62;0.11
16.2914;2.2896;-0.348671;38.68;-0.06
12.2649;4.37014;-0.532918;11.53;0.26
14.1646;2.94923;-0.421959;22.16;-0.32
18.2015;1.71821;-0.298593;9.13;-0.31
24.3531;0.345441;-0.132608;42.22;0.18
5.93579;2.19845;-0.215737;26.48;-0.24
9.24456;4.09959;-0.434718;7.8;0.04
13.4543;3.48636;-0.463505;8.06;0.29
4.76598;1.60667;-0.142889;17.09;0.02
4.12113;1.45005;-0.126918;19.91;-0.46
23.3618;0.621062;-0.166776;25.71;-0.27
11.3856;3.46442;-0.42801;41.18;0.4
16.4612;1.93687;-0.322924;42.05;-0.28
19.3608;1.37773;-0.261946;26.91;0.45
7.40224;2.89343;-0.302272;38.5;0.28
8.90441;3.71263;-0.414546;36.84;-0.28
17.1239;2.08334;-0.330592;12.57;-0.15
6.15325;2.27239;-0.220866;10.61;-0.18
22.2263;0.860194;-0.195462;42.02;0.34
6.47606;2.49361;-0.250834;29.77;-0.21
6.98394;2.79593;-0.290198;37.47;-0.27
16.7312;1.95214;-0.316473;35.53;0.37
15.3179;2.43991;-0.360964;44.54;0.15
13.4223;3.23943;-0.434674;33.69;0.39
19.754;1.28083;-0.253648;16.84;-0.36
15.4771;2.32406;-0.364428;42.29;0.44
16.2633;2.33148;-0.358571;15.53;-0.18
19.1693;1.30479;-0.263862;11.15;-0.46
12.9999;3.64522;-0.461197;26.73;-0.1
23.5242;0.639237;-0.17177;35.13;-0.08
24.6522;0.365282;-0.133008;29.59;0.26
23.9845;0.482917;-0.146035;24.33;0.28
11.332;3.59856;-0.439239;39.59;-0.15
10.5297;3.95879;-0.4588;39.17;0.02
4.87286;1.76286;-0.164383;38.68;-0.34
19.0939;1.47311;-0.27141;8.38;-0.34
4.55782;1.55777;-0.137657;23.7;-0.16
6.13501;2.15552;-0.207217;6.97;0.26
15.3592;2.59661;-0.385631;10.81;0.36
10.199;3.96897;-0.449625;31.38;0.31
16.9373;2.04541;-0.32887;40.99;-0.04
11.4227;4.44053;-0.534653;16.4;-0.28
23.5399;0.711097;-0.168566;30.51;0.07
12.594;3.14631;-0.419627;37.88;-0.33
19.3401;1.4287;-0.270666;28.89;-0.22
3.8375;1.34555;-0.114775;15.52;-0.46
5.48272;1.9103;-0.181688;24.26;0.48
24.5443;0.415118;-0.141702;35.48;-0.33
23.6568;0.744218;-0.16663;11.06;-0.09
11.9523;3.69718;-0.478813;25.17;-0.42
11.3652;3.9106;-0.469459;34.41;-0.1
22.2543;0.885873;-0.194612;19.34;-0.19
9.02457;3.63077;-0.406251;39.52;-0.04
18.7368;1.59601;-0.28435;37.68;0.21
23.421;0.704367;-0.16398;7.33;0.22
