Average wind speed (m/s);Average tip deflection out-of-plane (m);Average tip deflection in-plane (m);Input turbulence intensity (%);Input alpha
5.13798;1.87541;-0.177583;34.17;-0.37
18.7526;1.64263;-0.283073;26.23;-0.16
11.1022;5.03049;-0.575102;8.78;-0.15
24.9261;0.35993;-0.125297;17.88;0.28
3.80337;1.35622;-0.115592;21.91;-0.45
12.8732;3.69847;-0.477452;23.09;-0.13
13.9645;3.20935;-0.433959;19.88;0.17
21.4684;0.7869;-0.213185;33.19;-0.47
13.9441;3.17341;-0.430047;29.27;0.19
15.5422;2.31716;-0.365526;20.59;-0.38
7.80735;3.09921;-0.326745;34.39;0.17
10.2892;4.07544;-0.468495;31.11;0.48
7.75149;3.15616;-0.327787;18.18;-0.06
13.1209;3.44859;-0.446964;35.06;-0.07
4.55962;1.50973;-0.134273;33.19;0.28
19.8005;1.28193;-0.253274;36.79;0.37
21.9998;0.91639;-0.201437;8.58;-0.32
3.53789;1.17773;-0.0935958;7.55;-0.24
9.27411;4.19422;-0.45184;26.63;0.01
23.5968;0.481128;-0.159038;31.32;-0.42
17.7895;1.86021;-0.311308;26.36;0.27
12.8154;3.33418;-0.442728;39.05;-0.32
22.5742;0.627281;-0.1858;26.42;-0.41
23.0301;0.566626;-0.163629;26.37;0.36
14.0087;3.19663;-0.433897;28.39;-0.1
4.46326;1.5666;-0.140415;44.95;-0.21
21.7664;0.869839;-0.197322;29.51;0.23
18.9408;1.55072;-0.276709;13.23;0.33
7.37981;2.78374;-0.287029;12.05;0.36
12.592;3.57164;-0.461735;32.08;0.49
4.53772;1.5154;-0.131185;15.8;0.12
22.1927;0.881893;-0.192059;21.36;0.29
4.60847;1.51077;-0.130762;10.97;0.2
24.9226;0.273795;-0.132086;36.94;-0.39
16.0803;2.32828;-0.3536;44;0.13
19.1076;1.52683;-0.273358;6.71;0.31
17.2215;1.9828;-0.324851;19.11;-0.26
13.2244;3.53468;-0.469792;9.15;0.43
18.5158;1.68282;-0.291345;24.94;-0.21
14.7692;2.73914;-0.383765;42.52;0.14
13.4689;3.3769;-0.454676;10.63;-0.23
14.3144;2.77337;-0.396514;43.42;-0.4
3.16854;1.01002;-0.0771511;18.56;0.22
3.71246;1.20815;-0.0976947;7.25;-0.08
19.331;1.30964;-0.258105;37.23;-0.3
7.99275;3.27673;-0.344899;34.31;0.03
12.9032;3.13904;-0.419137;43.65;0.34
3.41896;1.13089;-0.0888378;5.12;-0.22
22.7539;0.781511;-0.181982;22.1;0.21
20.7058;1.16095;-0.227674;17.05;0.24
14.2567;2.98156;-0.415281;32.72;-0.05
6.73901;2.6482;-0.270011;16.26;-0.32
13.9093;3.27563;-0.439647;22.65;0.09
19.0596;1.49555;-0.261994;44.99;0
19.0276;1.56143;-0.276576;7.73;-0.26
23.1904;0.724266;-0.172033;20.98;0.08
24.2778;0.438524;-0.13782;41.82;-0.08
7.67694;2.99283;-0.310127;17.96;0.18
20.9787;1.12084;-0.222052;28.73;0.2
21.7579;0.835745;-0.199535;23.33;-0.38
10.613;3.95865;-0.464684;44.44;0.35
14.3537;2.97366;-0.419424;11.24;-0.23
15.9451;2.18043;-0.333279;43.3;0.14
13.9235;3.20801;-0.433277;31.85;0.24
13.4868;3.35671;-0.448729;27.79;-0.16
10.4543;4.19822;-0.480495;28.77;0.24
10.8381;3.97712;-0.471783;36.59;0.44
6.09591;2.33713;-0.234222;34.47;-0.26
7.9584;3.27011;-0.342899;16.73;-0.09
16.2227;2.15196;-0.348477;32.95;0.48
15.6984;2.31248;-0.35082;41.48;0.08
24.968;0.345468;-0.120637;44.69;0.26
5.92505;2.31752;-0.231083;5.53;-0.5
13.6559;3.33619;-0.448325;15.08;-0.07
10.7743;3.89492;-0.464149;32.53;0.46
15.0455;2.55603;-0.380552;41.66;-0.34
20.5343;1.05311;-0.226037;28.2;0.45
6.81259;2.48532;-0.250066;11.7;0.38
5.03296;1.74881;-0.164637;40.5;0.35
12.4454;4.0213;-0.510141;9.57;0.48
24.0946;0.371898;-0.148615;42.74;0.29
11.5308;3.70211;-0.455167;27.46;-0.16
24.0156;0.530207;-0.151154;29.58;-0.26
21.0537;1.20206;-0.227167;17.48;-0.1
22.7456;0.783031;-0.181649;16.18;-0.26
6.73419;2.57724;-0.267151;41;0.44
9.84532;4.11371;-0.457114;22.68;0.32
12.7141;3.94726;-0.49896;17.33;0.39
18.5715;1.70227;-0.28846;16.27;-0.09
7.1232;2.92749;-0.30569;39.87;-0.27
13.7146;3.42153;-0.454707;15.64;0.01
18.2545;1.59762;-0.285865;35.99;-0.33
9.01094;3.9258;-0.417741;20.13;0.05
19.759;1.30563;-0.259483;31.52;-0.32
16.4419;2.15205;-0.344394;9.67;-0.32
14.9992;2.64377;-0.392179;20.32;-0.27
25.6058;0.212132;-0.107884;41.92;-0.1
21.5994;0.838033;-0.207131;39.48;-0.38
14.1093;2.94737;-0.406913;43.94;0.07
20.3497;1.27641;-0.24342;28.71;-0.24
20.1744;1.28043;-0.246702;24.73;0.21
16.016;2.35003;-0.35828;36.9;-0.28
21.7946;0.815813;-0.205627;33.33;-0.39
17.618;1.9694;-0.319419;12.38;0.18
20.4037;1.13656;-0.235508;21.65;0.37
10.3929;4.44783;-0.500667;23.66;-0.06
14.185;3.08059;-0.426141;20.95;-0.21
15.1804;2.67902;-0.392899;7.69;0.33
7.77262;3.45476;-0.368314;20.94;-0.48
6.59733;2.46089;-0.245144;18.8;-0.02
14.1917;2.93975;-0.406925;36.4;-0.05
8.47408;3.53972;-0.38165;31.2;0.5
21.3242;0.804596;-0.204967;31.96;-0.45
14.4874;3.0143;-0.421152;7.43;0.21
14.2373;2.8806;-0.408925;23.8;-0.31
3.31168;1.05282;-0.082955;14.46;0.31
24.6333;0.430668;-0.135403;34.53;-0.14
11.6867;4.49311;-0.532729;16.75;-0.15
23.276;0.530616;-0.168411;20.53;-0.46
25.1582;0.199504;-0.122662;39.71;0.48
17.3292;1.86631;-0.318751;7.39;-0.38
16.266;2.35647;-0.357518;20.79;0.23
6.62296;2.42165;-0.244001;26.01;0.27
18.8731;1.60289;-0.279414;31.89;0.22
16.537;2.29282;-0.350619;14.59;0.14
18.4582;1.80144;-0.297168;9.79;-0.03
8.89929;3.74935;-0.400108;6.44;0.43
14.2429;3.17163;-0.4295;28.52;0.06
5.46305;2.04428;-0.195403;19.74;-0.35
20.7722;1.11103;-0.225091;26.57;-0.24
15.7848;2.12162;-0.345955;42.47;-0.41
12.0432;3.91678;-0.484756;31.81;0.37
6.31475;2.41687;-0.241972;28.83;-0.15
4.86339;1.64915;-0.1459;8.08;-0.03
13.4254;3.20709;-0.444239;13.95;-0.36
10.9621;3.98975;-0.468169;28.91;0.4
22.7032;0.753694;-0.188507;33.83;0.28
16.9067;2.19619;-0.343688;32.93;-0.04
5.90102;2.13664;-0.209485;37.45;0.19
11.1834;4.45503;-0.548584;6.7;-0.48
16.1914;2.36648;-0.360783;29.94;-0.13
7.67655;3.179;-0.33441;41.15;0.04
18.8645;1.53999;-0.267075;43.54;0.14
12.0283;4.26918;-0.519599;19.93;0.42
13.9757;2.95264;-0.407594;44.75;0.3
5.41722;1.86895;-0.176227;26.65;0.4
23.4418;0.569419;-0.156823;18.74;0.32
22.4103;0.629182;-0.185146;16.49;-0.48
23.2447;0.590186;-0.168957;42.41;0.48
17.5815;1.96416;-0.318439;29.04;0.19
22.2085;0.876557;-0.19913;42.8;-0.02
18.7219;1.62751;-0.284761;15.35;0.27
15.9453;2.50298;-0.371333;21.28;0.02
5.60362;2.09123;-0.201391;13.87;-0.38
7.91091;3.29748;-0.346914;27.77;-0.12
4.76834;1.66516;-0.149806;23.53;-0.17
6.70701;2.48731;-0.2501;20.9;0.04
20.2353;1.11395;-0.236263;35.34;-0.39
15.8857;2.36528;-0.365533;5.55;0.42
11.6197;4.42192;-0.530453;19.31;0.44
15.0306;2.42803;-0.379631;27.52;-0.49
21.7271;0.844381;-0.200811;15.96;0.43
19.2751;1.61215;-0.276246;14.09;-0.05
11.2327;3.87933;-0.461998;32.43;-0.08
9.79064;4.37152;-0.473405;17.69;0.35
24.3834;0.275842;-0.137085;22.98;-0.46
10.7153;4.94579;-0.550005;8.04;0.42
8.6854;4.02255;-0.429277;17.98;-0.35
12.0896;4.42422;-0.537373;8.3;0.06
24.3179;0.535188;-0.142645;11.51;-0.27
12.7595;3.27913;-0.42979;39.75;-0.3
7.97853;3.47846;-0.369852;11.87;-0.38
12.264;4.03002;-0.493469;24.09;0.19
14.5366;2.9334;-0.416357;13.72;0.36
12.3148;3.80553;-0.472677;24.46;0.31
7.80906;3.10614;-0.330391;35.47;0.44
10.984;4.95207;-0.568591;7.7;-0.26
16.337;2.38874;-0.357502;19.96;-0.05
9.07793;3.91515;-0.429047;44.27;0.06
3.57888;1.16834;-0.0963096;44.73;-0.05
14.3235;2.85481;-0.404772;32.48;-0.36
17.1046;2.10066;-0.333274;30.19;-0.05
19.5919;1.51861;-0.265521;9.82;-0.06
8.17203;3.34628;-0.358983;36.25;0.49
19.5699;1.48251;-0.26553;39.38;-0.12
3.12192;0.986839;-0.0747756;18.93;0.26
22.3754;0.831321;-0.186522;29.15;0.23
7.50364;3.10409;-0.324956;37.42;-0.21
4.0136;1.47432;-0.129826;35.45;-0.5
3.15828;1.11216;-0.0880431;23.04;-0.5
7.37135;2.83028;-0.290305;13.16;-0.01
25.4642;0.171923;-0.113916;43.83;0.02
5.62581;1.99351;-0.190079;32.28;0.01
7.19743;2.79052;-0.286049;13.31;-0.08
13.6589;3.42572;-0.455282;18.75;0.25
4.28998;1.48896;-0.129839;27.65;-0.23
21.7817;0.960399;-0.201723;8.75;0.27
24.1303;0.336785;-0.13165;30.72;0.35
7.45165;2.88612;-0.299445;29.01;0.16
3.50134;1.15659;-0.0926457;28.3;0
4.29167;1.52114;-0.132577;14.19;-0.4
8.85131;3.71021;-0.405146;39.46;0.19
19.6498;1.34328;-0.257107;38.59;-0.14
9.34656;3.85376;-0.42893;40.88;0.05
5.25447;1.82039;-0.168014;17.74;0.02
17.9129;1.65844;-0.2995;7.71;-0.42
8.2545;3.45231;-0.384593;44.25;-0.49
21.5232;0.945818;-0.206359;22.49;0.26
16.732;2.20495;-0.344575;30.83;0.07
11.366;4.19766;-0.499222;35.29;-0.06
20.1322;0.982791;-0.232685;44.62;-0.42
17.4697;1.99726;-0.32097;19.15;-0.12
3.25704;1.08746;-0.0867553;38.04;0.13
22.684;0.727306;-0.178872;29.65;0.31
20.2444;1.09236;-0.232709;31.28;-0.38
11.3051;3.73681;-0.450984;40.38;0.34
8.01964;3.58748;-0.385644;35.09;-0.46
15.5389;2.59057;-0.381797;5.98;-0.13
22.3972;0.59923;-0.185305;30.01;-0.45
15.2314;2.70196;-0.392506;11.78;0.26
5.51321;2.00683;-0.191424;27.52;-0.19
5.02183;1.70432;-0.154341;12.92;0.1
4.80559;1.62625;-0.148623;44.76;0.24
4.40902;1.48145;-0.128609;14.22;-0.06
14.3851;2.82997;-0.401925;43.34;0.41
11.7244;3.50866;-0.452998;35.66;-0.47
11.0321;4.98837;-0.58052;5.76;-0.33
8.64052;3.91006;-0.415696;16.25;-0.3
18.1769;1.70512;-0.29106;38.83;-0.03
6.50353;2.3823;-0.240411;37.75;0.21
